Ticker,Stock Name,Price Code,Ratios Code,In Market?
ACLR,Accent Color,NA,DMDRN/ACLR_ALLFINANCIALRATIOS,Not Active
ACLS,Axcelis Technologies,GOOG/NASDAQ_ACLS,DMDRN/ACLS_ALLFINANCIALRATIOS,Active
ACLY,Arcland Energy Corp.,NA,DMDRN/ACLY_ALLFINANCIALRATIOS,Not Active
ACM,Aecom Technology Corp.,GOOG/NYSE_ACM,DMDRN/ACM_ALLFINANCIALRATIOS,Active
ACM/A.TO,Astral Media Inc. 'A',NA,DMDRN/ACM_A_TO_ALLFINANCIALRATIOS,Active
ACMA.TO,Astral Media Inc. 'A',NA,DMDRN/ACMA_TO_ALLFINANCIALRATIOS,Not Active
ACME,Acme Communications Inc,GOOG/PINK_ACME,DMDRN/ACME_ALLFINANCIALRATIOS,Active
ACMI,American Consolidating Manag,NA,DMDRN/ACMI_ALLFINANCIALRATIOS,Not Active
ACMM,Accom Inc,GOOG/PINK_ACMM,DMDRN/ACMM_ALLFINANCIALRATIOS,Not Active
ACMN,ASPAC Communications Inc,NA,DMDRN/ACMN_ALLFINANCIALRATIOS,Not Active
ACMP,Access Midstream Partners L.P.,GOOG/NYSE_ACMP,DMDRN/ACMP_ALLFINANCIALRATIOS,Active
ACMR,A C Moore Arts & Crafts,NA,DMDRN/ACMR_ALLFINANCIALRATIOS,Not Active
ACMTA,ACMAT Corp,GOOG/PINK_ACMTA,DMDRN/ACMTA_ALLFINANCIALRATIOS,Not Active
ACN,Accenture Plc.,GOOG/NYSE_ACN,DMDRN/ACN_ALLFINANCIALRATIOS,Active
ACNB,Acnb Corp.,GOOG/NASDAQ_ACNB,DMDRN/ACNB_ALLFINANCIALRATIOS,Active
ACNI,American Community Newspapers,GOOG/PINK_ACNI,DMDRN/ACNI_ALLFINANCIALRATIOS,Active
ACNIQ,American Community Newspapers,NA,DMDRN/ACNIQ_ALLFINANCIALRATIOS,Not Active
ACO,Amcol International Corp.,GOOG/NYSE_ACO,DMDRN/ACO_ALLFINANCIALRATIOS,Active
ACO/X.TO,ATCO Ltd.,NA,DMDRN/ACO_X_TO_ALLFINANCIALRATIOS,Not Active
ACOC,ARC Communications Inc,NA,DMDRN/ACOC_ALLFINANCIALRATIOS,Not Active
ACOM,Ancestry.Com,GOOG/NASDAQ_ACOM,DMDRN/ACOM_ALLFINANCIALRATIOS,Not Active
ACOR,Acorda Therapeutics,GOOG/NASDAQ_ACOR,DMDRN/ACOR_ALLFINANCIALRATIOS,Active
ACOX.TO,ATCO Ltd.,NA,DMDRN/ACOX_TO_ALLFINANCIALRATIOS,Not Active
ACOY.TO,Atco Ltd,NA,DMDRN/ACOY_TO_ALLFINANCIALRATIOS,Active
ACPC,Acap Corp,NA,DMDRN/ACPC_ALLFINANCIALRATIOS,Not Active
ACPH,Acura Pharmaceuticals Inc,NA,DMDRN/ACPH_ALLFINANCIALRATIOS,Not Active
ACPI,Amer Consumer Prod,NA,DMDRN/ACPI_ALLFINANCIALRATIOS,Not Active
ACPL,Accident Prevention Plus Inc,NA,DMDRN/ACPL_ALLFINANCIALRATIOS,Not Active
ACPW,Active Power,GOOG/NASDAQ_ACPW,DMDRN/ACPW_ALLFINANCIALRATIOS,Active
ACR,Amer Retirement,NA,DMDRN/ACR_ALLFINANCIALRATIOS,Not Active
ACRG,ACR Group Inc.,NA,DMDRN/ACRG_ALLFINANCIALRATIOS,Not Active
ACRI,Acacia Research,NA,DMDRN/ACRI_ALLFINANCIALRATIOS,Not Active
ACRN,Acorn Products,NA,DMDRN/ACRN_ALLFINANCIALRATIOS,Not Active
ACRS,Acceris Communications Inc,NA,DMDRN/ACRS_ALLFINANCIALRATIOS,Not Active
ACRSV,Acceris Communications Inc,NA,DMDRN/ACRSV_ALLFINANCIALRATIOS,Not Active
ACRT,Actrade Finl Technologies Ltd,NA,DMDRN/ACRT_ALLFINANCIALRATIOS,Not Active
ACRTQ,Actrade Finl Technologies Ltd,NA,DMDRN/ACRTQ_ALLFINANCIALRATIOS,Not Active
ACRU,Accrue Software Inc,NA,DMDRN/ACRU_ALLFINANCIALRATIOS,Not Active
ACRUQ,Accrue Software Inc,NA,DMDRN/ACRUQ_ALLFINANCIALRATIOS,Not Active
ACRX,Acelrx Pharmaceuticals,GOOG/NASDAQ_ACRX,DMDRN/ACRX_ALLFINANCIALRATIOS,Active
ACS,Affil Computer Svcs 'A',NA,DMDRN/ACS_ALLFINANCIALRATIOS,Not Active
ACSEF,ACS-Tech80 Ltd,GOOG/PINK_ACSEF,DMDRN/ACSEF_ALLFINANCIALRATIOS,Not Active
ACTG,Acacia Research Corp.,GOOG/NASDAQ_ACTG,DMDRN/ACTG_ALLFINANCIALRATIOS,Active
ACTH,Advanced Clean Tech Inc,NA,DMDRN/ACTH_ALLFINANCIALRATIOS,Not Active
